,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
14,frozenset({'22 oz Android Bottle'}),frozenset({'Google Sunglasses'}),0.005546466621443678,0.027692430469654045,0.0010374685766729181,0.18705035971223022,6.754566375717869,0.0008838734354063322,1.196024355439983,0.8567036847271179
15,frozenset({'Google Sunglasses'}),frozenset({'22 oz Android Bottle'}),0.027692430469654045,0.005546466621443678,0.0010374685766729181,0.037463976945244955,6.754566375717869,0.0008838734354063322,1.0331598086298175,0.8762165728554697
16,frozenset({'22 oz YouTube Bottle Infuser'}),frozenset({'YouTube Custom Decals'}),0.005147440245800247,0.01671920513945972,0.001276884402058976,0.24806201550387597,14.836950287691254,0.0011908232926463307,1.3076620880104093,0.93742604885288
17,frozenset({'YouTube Custom Decals'}),frozenset({'22 oz YouTube Bottle Infuser'}),0.01671920513945972,0.005147440245800247,0.001276884402058976,0.07637231503579951,14.836950287691254,0.0011908232926463307,1.077114270121472,0.9484581710088466
18,frozenset({'26 oz Double Wall Insulated Bottle'}),frozenset({'Google 17oz Stainless Steel Sport Bottle'}),0.016280276126251946,0.00997565939108575,0.0013167870396233192,0.08088235294117647,8.107970588235295,0.0011543805501950048,1.0771464825824988,0.8911731192589506
19,frozenset({'Google 17oz Stainless Steel Sport Bottle'}),frozenset({'26 oz Double Wall Insulated Bottle'}),0.00997565939108575,0.016280276126251946,0.0013167870396233192,0.132,8.107970588235293,0.0011543805501950048,1.1333176542324286,0.88549800125311
20,frozenset({'26 oz Double Wall Insulated Bottle'}),frozenset({'Google Laptop and Cell Phone Stickers'}),0.016280276126251946,0.03216152587686046,0.001556202865009377,0.09558823529411764,2.9721299810246675,0.0010326043430924914,1.0701303453719266,0.6745223705025756
21,frozenset({'Google Laptop and Cell Phone Stickers'}),frozenset({'26 oz Double Wall Insulated Bottle'}),0.03216152587686046,0.016280276126251946,0.001556202865009377,0.04838709677419355,2.9721299810246675,0.0010326043430924914,1.0337393708503793,0.685590599876314
22,frozenset({'26 oz Double Wall Insulated Bottle'}),frozenset({'Google Sunglasses'}),0.016280276126251946,0.027692430469654045,0.0013965923147520052,0.0857843137254902,3.097753150251455,0.0009457519000990044,1.0635428642583944,0.6883926036240157
23,frozenset({'Google Sunglasses'}),frozenset({'26 oz Double Wall Insulated Bottle'}),0.027692430469654045,0.016280276126251946,0.0013965923147520052,0.050432276657060515,3.097753150251455,0.0009457519000990044,1.035965839709228,0.696472395335612
24,frozenset({'Google 22 oz Water Bottle'}),frozenset({'7&quot; Dog Frisbee'}),0.027293404094010616,0.004548900682335102,0.001276884402058976,0.04678362573099415,10.284600389863547,0.0011527294175524834,1.0443075949896974,0.9280982073265782
25,frozenset({'7&quot; Dog Frisbee'}),frozenset({'Google 22 oz Water Bottle'}),0.004548900682335102,0.027293404094010616,0.001276884402058976,0.2807017543859649,10.284600389863547,0.0011527294175524834,1.3522994138205218,0.9068926123381569
26,frozenset({'Google Kick Ball'}),frozenset({'7&quot; Dog Frisbee'}),0.011212641155580384,0.004548900682335102,0.001117273851801604,0.099644128113879,21.905100830367733,0.0010662686607982059,1.1056196004279202,0.965170644528998
27,frozenset({'7&quot; Dog Frisbee'}),frozenset({'Google Kick Ball'}),0.004548900682335102,0.011212641155580384,0.001117273851801604,0.2456140350877193,21.905100830367736,0.0010662686607982059,1.3107181268402772,0.9587096072244587
28,frozenset({'Android Small Removable Sticker Sheet'}),frozenset({'8 pc Android Sticker Sheet'}),0.0026734767168109814,0.010294880491600494,0.001077371214237261,0.40298507462686567,39.14422075668171,0.0010498480909406156,1.6577560751765692,0.9770656068567567
